Date,Adj_Close,Close,High,Low,Open,Volume
1996-11-18,52.4054,74.0468,74.25,73.7343,74.1718,1518200
1996-11-19,52.7814,74.5781,74.5937,74.0312,74.1406,1029300
1996-11-20,52.8699,74.7031,75.0156,74.3125,74.5625,730000
1996-11-21,52.7925,74.5937,74.8437,74.375,74.7968,653000
1996-11-22,53.2016,75.1718,75.25,74.7031,74.7031,965100
1996-11-25,53.8762,76.125,76.1562,75.0781,75.25,2058800
1996-11-26,53.6993,75.875,76.6875,75.4687,76.2812,2861800
1996-11-27,53.5997,75.7343,76.1875,75.6406,76.0625,872000
1996-11-29,53.7988,76.0156,76.2187,75.8593,76.0,1073400
1996-12-02,53.8209,76.0468,76.125,75.3906,75.9218,1350600
1996-12-03,52.9031,74.75,76.5781,74.75,76.0625,1777800
1996-12-04,53.0468,74.9531,75.0625,74.0937,74.875,2365100
1996-12-05,52.9031,74.75,75.1406,74.5312,74.8437,1697700
1996-12-06,52.5935,74.3125,74.75,72.6562,73.25,3401800
1996-12-09,53.3675,75.4062,75.4218,74.5781,74.6875,1864600
1996-12-10,53.1131,75.0468,75.6718,74.9687,75.5625,1331600
1996-12-11,52.6266,74.3593,74.625,73.3125,73.625,1847900
1996-12-12,51.753,73.125,74.875,72.9375,74.7812,2540200
1996-12-13,51.8857,73.3125,73.5781,72.4062,73.0625,1678300
1996-12-16,51.2222,72.375,73.6875,72.0625,73.5,1831100
1996-12-17,51.6314,72.9531,73.2812,71.875,72.1562,2023200
1996-12-18,52.0405,73.5312,73.7656,73.2656,73.375,1666800
1996-12-19,53.1131,75.0468,75.125,73.8906,74.1875,2269300
1996-12-20,53.2297,74.8437,75.7187,74.75,75.125,1543200
1996-12-23,53.0964,74.6562,75.2031,74.3281,75.0937,1263700
1996-12-24,53.4853,75.2031,75.2031,74.7968,74.8437,633000
1996-12-26,53.8965,75.7812,75.8281,75.375,75.4375,1384300
1996-12-27,53.9632,75.875,76.0312,75.5,75.7812,410400
1996-12-30,53.4964,75.2187,76.125,75.1562,76.125,694100
1996-12-31,52.5185,73.8437,75.375,73.8437,75.2812,1378100
1997-01-02,52.6519,74.0312,74.375,72.75,74.375,2031900
1997-01-03,53.4075,75.0937,75.125,74.0781,74.375,2123200
1997-01-06,52.9408,74.4375,75.4375,74.3125,75.0937,1374100
1997-01-07,53.5853,75.3437,75.4687,74.125,74.4375,939000
1997-01-08,53.1186,74.6875,75.7812,74.6875,75.75,1802200
1997-01-09,53.5631,75.3125,75.875,74.9375,75.0625,1415700
1997-01-10,54.141,76.125,76.25,74.25,74.25,2369500
1997-01-13,54.0632,76.0156,76.5,75.6406,76.5,1364600
1997-01-14,54.741,76.9687,77.3906,76.5,76.6875,2111200
1997-01-15,54.6077,76.7812,77.2031,76.375,76.7187,1583900
1997-01-16,54.8299,77.0937,77.2968,76.5,77.0312,1308400
1997-01-17,55.1634,77.5625,77.75,77.1093,77.2031,1604000
1997-01-20,55.23,77.6562,78.0937,77.4687,77.75,1889900
1997-01-21,55.6745,78.2812,78.5468,77.1093,77.375,2785800
1997-01-22,56.0746,78.8437,78.8437,77.875,78.3125,1201600
1997-01-23,55.2967,77.75,79.6875,76.9062,79.0625,2601100
